respondent_id,dept,tenure_years,role_level,region,exit_date,satisfaction,response
R-1016,Engineering,15.75,Manager,LATAM,2024-10-18,4,"Equity refreshers dried up and the salary never made up for it and at the same time chronic understaffing turned every small task into overtime. Beyond that, the exit interview questions were thoughtful, including this one."
R-1017,Engineering,1,Lead,NA,2025-08-31,3,"The benefits package was reasonable overall. Beyond that, the team itself was genuinely kind and on top of that the exit interview questions were thoughtful, including this one."
R-1018,Support,1,IC,NA,2024-07-03,2,"Since you asked: we shipped on adrenaline for two years and I ran out. Beyond that, I wish someone had talked me out of it, honestly and on top of that the resignation letter sat in my drafts for six months before I sent it."
R-1019,Marketing,12.25,IC,APAC,2025-10-01,2,"The benefits package was reasonable overall. Also, the customers were the best part of the job."
R-1020,Sales,0.25,IC,EMEA,2024-11-03,4,"La verdad, las guardias de madrugada me quitaron el sueño durante meses, y encima el plan de desarrollo era un documento que nadie abría."
R-1021,People,8.5,Lead,EMEA,2025-08-30,3,The office policy changed three times in a year.
R-1022,People,16.5,IC,NA,2025-12-12,2,"Honestly, the advancement conversations were always next quarter, forever."
R-1023,Engineering,0.5,IC,APAC,2025-10-31,3,"Plainly put, two promotions in title with no movement in salary. Meanwhile, the benefits package was reasonable overall."
R-1024,Sales,14.5,IC,NA,2025-03-21,2,"The on-target earnings were a fiction nobody hit. Meanwhile, ambition here is a liability, so I took mine elsewhere."
R-1025,People,1.5,IC,EMEA,2025-07-06,4,The timezone spread made office attendance pure ceremony and on top of that nothing dramatic to report from my corner.
R-1026,Support,8.25,IC,NA,2025-11-24,4,"In the end, I was underpaid compared to every offer I saw elsewhere. Beyond that, decisions came down from above with no context and no discussion."
R-1027,Support,13.75,Lead,APAC,2025-04-08,3,I learned the trade here and I am grateful for that and at the same time nothing dramatic to report from my corner.
R-1028,Engineering,12,IC,NA,2025-11-17,1,"The relocation was for my partner's job. To be fair, the onboarding I received years ago was excellent."
R-1029,Engineering,10.25,Manager,EMEA,2024-09-15,4,"In the end, I could not stay another quarter."
R-1030,Engineering,7,IC,EMEA,2024-07-21,3,I wish the next cohort a smooth ride and on top of that I appreciated the honest conversations on the way out.
R-1031,Engineering,0.5,Manager,NA,2024-11-07,2,x
R-1032,Marketing,0.5,Director,APAC,2024-08-20,3,"For what it is worth, they paid below market and called it mission alignment. Beyond that, a former colleague recruited me into the new role."
R-1033,People,4.5,Lead,NA,2025-01-16,3,"Simply put, I appreciated the honest conversations on the way out. Beyond that, an opportunity came along that was too specific to pass up."
R-1034,Engineering,2.75,IC,APAC,2025-04-16,3,"Honestly, my paycheck did not reflect the scope I carried. Meanwhile, I left before it cost me more than a job."
R-1035,Engineering,6.25,Lead,NA,2025-12-19,1,"Equity refreshers dried up and the salary never made up for it, plus the company swag was genuinely good, for what that is worth."
R-1036,Operations,0.25,IC,NA,2025-02-07,2,"El equipo en sí era muy amable y lo voy a extrañar. También, no hay una sola razón, simplemente se terminó el capítulo."
R-1037,Support,0.25,IC,NA,2025-06-25,3,"Off the record but on the form: no raise came even after the best review of my life. Meanwhile, burnout crept in during my first year and never left."
R-1038,Operations,1,IC,NA,2024-12-25,3,"Commuting to take the same zoom calls broke something in me. Meanwhile, nothing dramatic to report from my corner."
R-1039,Engineering,0.5,Lead,APAC,2024-08-15,2,"For what it is worth, compensation was the one thing they refused to discuss honestly. Beyond that, stagnation set in and nothing on the horizon promised otherwise. Meanwhile, I was counting the days until my vesting cliff and then I was gone."
R-1040,Operations,0.25,IC,LATAM,2024-11-26,2,"Short version: the pay gap between old hires and new hires became impossible to ignore. Also, my manager read my status reports back to me as insight and on top of that we shipped on adrenaline for two years and I ran out. To be fair, upskilling happened on my own time or not at all."
R-1041,Marketing,5,IC,NA,2025-03-12,5,"Two promotions in title with no movement in salary and at the same time the team shrank and the commitments did not. Beyond that, the project I leave behind is in capable hands."
R-1042,People,0.75,Manager,NA,2024-08-26,2,"Look — the always-on culture ate my evenings one slack ping at a time. To be fair, the office snacks deserve a small tribute."
R-1043,Operations,0.5,IC,APAC,2025-05-04,3,"My supervisor rewrote my work at midnight without telling me why and at the same time part of me wishes I had stayed another year. Beyond that, the exit interview questions were thoughtful, including this one."
R-1044,Sales,8.75,IC,NA,2025-05-16,5,"Simply put, compensation was the one thing they refused to discuss honestly and on top of that it was simply time for something new."
R-1045,Sales,5.5,IC,NA,2024-09-16,3,"Simply put, my supervisor canceled our one-on-ones for two months running and on top of that the relocation was for my partner's job."
R-1046,Engineering,5.5,Lead,EMEA,2025-08-17,3,"Off the record but on the form: the product problems were interesting most of the time — and honestly, the company swag was genuinely good, for what that is worth."
R-1047,Operations,15.25,Lead,EMEA,2025-08-06,4,"The overtime was unpaid, expected, and endless. Also, progression here rewards tenure, not capability."
R-1048,People,13.75,IC,NA,2025-05-25,4,"Bottom line: the project I leave behind is in capable hands. Meanwhile, the office snacks deserve a small tribute."
R-1049,Support,2,Lead,EMEA,2024-10-11,3,"Pay was fine at hire and then quietly fell behind year after year, plus five years of remote results erased by one executive memo."
R-1050,Engineering,11.25,Lead,LATAM,2025-12-23,3,"I was underpaid compared to every offer I saw elsewhere. Also, I miss the people more than I thought possible and it stings."
R-1051,Engineering,0.5,IC,APAC,2025-08-27,3,"En resumen: me fui para recordar lo que se siente descansar. También, aprendí mucho del oficio en esta empresa."
R-1052,Engineering,10.5,IC,LATAM,2024-09-09,2,"Since you asked: no new challenges arrived after the platform stabilized. Meanwhile, the mission still resonates with me."
R-1053,Engineering,3.25,Lead,NA,2024-07-11,3,"The crunch was supposed to be temporary and lasted fourteen months — and honestly, the product problems were interesting most of the time."
R-1054,Sales,2.25,IC,LATAM,2024-10-11,3,.
R-1055,Sales,15,Lead,EMEA,2025-01-25,4,"The company is full of talented people — and honestly, the company is full of talented people."
R-1056,Sales,10.5,IC,APAC,2025-03-08,3,"I wanted to grow into new skills and the role refused to grow with me — and honestly, the new role is closer to home, which mattered to my family."
R-1057,Engineering,0.25,Lead,NA,2025-03-08,5,"The exit interview questions were thoughtful, including this one. Also, my coworkers made the hard stretches bearable."
R-1058,Engineering,1.25,IC,NA,2025-05-07,2,"Plainly put, pay transparency revealed exactly how far behind I was — and honestly, I am taking time off before deciding what is next."
R-1059,People,11.5,IC,APAC,2025-12-22,5,"Bottom line: what they pay senior people here would be junior pay anywhere else. Beyond that, management treated every concern as an attitude problem."
R-1060,Marketing,7.5,Lead,NA,2025-03-21,4,Where to start — the anchor days filled the office without filling it with purpose.
R-1061,Sales,13.75,Lead,APAC,2025-08-07,4,"For what it is worth, compensation was the one thing they refused to discuss honestly and on top of that work bled into nights until the nights were gone. Also, I handed in my notice the morning after the announcement."
R-1062,Operations,5.5,IC,NA,2024-08-11,2,"Short version: the off-hours support rotation broke me. Also, I appreciated the honest conversations on the way out."
R-1063,Engineering,14,IC,APAC,2025-10-29,3,"La compensación nunca fue competitiva y todos lo sabíamos y al mismo tiempo me fui para recordar lo que se siente descansar y además la promoción se la dieron a alguien de fuera, dos veces."
R-1064,Sales,10.75,IC,LATAM,2025-04-10,5,"Salary discussions went nowhere for two cycles. Beyond that, the management layer above me was pure noise. To be fair, I enjoyed the early years quite a bit."
R-1065,Engineering,7.5,IC,APAC,2025-12-31,1,"The decision to quit made itself by the end. Meanwhile, the office snacks deserve a small tribute."
R-1066,People,7.75,Manager,NA,2024-10-01,4,"Short version: the customers were the best part of the job. Also, the product problems were interesting most of the time."
R-1067,Engineering,0.5,IC,NA,2024-12-23,2,"I was exhausted on Monday mornings, which told me everything. Meanwhile, I chose to walk away and I have not looked back."
R-1068,Support,7,IC,NA,2025-02-21,1,My workload doubled after the layoffs and the thanks was a gift card and at the same time staying even one more cycle was never an option for me.
R-1069,Sales,4.25,IC,NA,2025-01-23,3,"If I am being candid, I am switching industries to be closer to healthcare work and at the same time I enjoyed the early years quite a bit."
R-1070,Operations,7.25,IC,EMEA,2025-06-06,3,"I cannot remember my last week without a fire drill. To be fair, the office policy changed three times in a year."
R-1071,Engineering,6.75,IC,APAC,2024-07-22,5,"The interview process that brought me in was the best I have experienced — and honestly, I learned the trade here and I am grateful for that."
R-1072,Engineering,11.25,IC,NA,2025-07-29,1,"Underpaid and tired of negotiating for scraps — and honestly, decisions came down from above with no context and no discussion and on top of that the tools and equipment were always solid."
R-1073,Engineering,0.5,IC,NA,2025-01-30,1,"Too much work, too few hands, too little honesty about it. Beyond that, my coworkers made the hard stretches bearable."
R-1074,Sales,5.75,Lead,EMEA,2024-11-13,5,"The hybrid schedule was hybrid in name only. Beyond that, the onboarding I received years ago was excellent."
R-1075,Sales,6.5,IC,NA,2024-11-16,2,"The cost of living rose and my pay pretended not to notice. Beyond that, my manager promised the promotion and then pretended the conversation never happened."
R-1076,Marketing,0.25,Lead,APAC,2025-04-06,3,"Where to start — the product problems were interesting most of the time, plus the mission still resonates with me."
R-1077,People,12.5,IC,NA,2024-11-09,3,"No single reason, just the sense that the chapter ended and at the same time the onboarding I received years ago was excellent. Also, it was simply time for something new."
R-1078,Sales,11.25,IC,NA,2025-06-09,5,"Exhaustion became my baseline state — and honestly, the title changed once in five years and the work never did. Meanwhile, my whole team is in other cities, so the office was a video call with worse chairs."
R-1079,Marketing,0.25,IC,NA,2025-10-29,4,Off the record but on the form: the promotion freeze entered its third year and on top of that I am going back to school in the fall.
R-1080,Sales,0.25,Lead,NA,2025-03-07,3,"Truthfully, a former colleague recruited me into the new role. Meanwhile, the onboarding I received years ago was excellent, plus I appreciated the honest conversations on the way out."
R-1081,Engineering,0.25,Lead,EMEA,2025-04-30,1,"Upskilling happened on my own time or not at all. To be fair, walking out the door was the easiest hard decision I ever made."
R-1082,Sales,5.5,Lead,NA,2025-01-23,4,"Honestly, I am going back to school in the fall — and honestly, the company is full of talented people."
R-1083,Marketing,2,IC,APAC,2025-06-24,1,"The annual raise did not even cover the parking increase. To be fair, vacation meant doing the same work from a different chair — and honestly, the internal documentation was surprisingly thorough."
R-1084,Sales,8.75,IC,LATAM,2024-08-14,3,After five rounds of reflection: the cost of living rose and my pay pretended not to notice.
R-1085,Sales,0.75,Lead,NA,2024-12-06,3,"Simply put, they paid below market and called it mission alignment and on top of that I enjoyed the early years quite a bit."
R-1086,Marketing,6.5,Director,EMEA,2024-07-29,2,"The customers were the best part of the job — and honestly, the office snacks deserve a small tribute."
R-1087,Engineering,1,Manager,NA,2024-08-09,5,"My manager never listened to a word the team said. To be fair, career development meant a webinar link in a newsletter."
R-1088,Engineering,0.5,Director,NA,2024-07-31,4,"Since you asked: the pay gap between old hires and new hires became impossible to ignore. To be fair, burnout crept in during my first year and never left, plus I moved during the remote era and the office mandate stranded me."
R-1089,Marketing,0.75,IC,NA,2025-07-06,3,Family circumstances made this change necessary and at the same time it was simply time for something new.
R-1090,Engineering,1.25,IC,APAC,2025-05-13,1,"A competing offer beat my pay by forty percent. Meanwhile, I would have resigned months earlier if I could have afforded it."
R-1091,Marketing,3.75,Lead,APAC,2024-11-16,2,"The interview process that brought me in was the best I have experienced, plus I want to thank the people who trained me."
R-1092,Sales,0.5,Manager,NA,2025-08-14,4,"The project I leave behind is in capable hands. Beyond that, this move is about geography more than anything."
R-1093,Support,11,Manager,EMEA,2024-11-24,1,"If I am being candid, the bonus was a rounding error this year, plus in-office Tuesdays became in-office Tuesday through Thursday became my exit and on top of that I would quit again twice as fast knowing what I know."
R-1094,Operations,5.25,IC,NA,2025-01-17,3,"The product problems were interesting most of the time. Beyond that, the tools and equipment were always solid. Meanwhile, it was simply time for something new."
R-1095,Engineering,11.25,Manager,NA,2025-10-11,4,"Bottom line: my calendar was nine hours of meetings wrapped around real work at night — and honestly, some weeks I genuinely wonder whether leaving was the mistake. Beyond that, my time here taught me a lot about the industry."
R-1096,Support,16.75,IC,NA,2025-06-12,4,"Para ser justos, los clientes eran la mejor parte del trabajo. Por otro lado, aprendí mucho del oficio en esta empresa. También, la salida fue tranquila y respetuosa, eso lo agradezco."
R-1097,Engineering,10.5,Lead,EMEA,2025-07-15,2,"Leadership promised changes after the survey and delivered none. Beyond that, the team itself was genuinely kind."
R-1098,Engineering,11,IC,NA,2024-07-30,4,"Ambition here is a liability, so I took mine elsewhere, plus no single reason, just the sense that the chapter ended."
R-1099,Support,15.75,IC,EMEA,2025-07-02,4,"The leadership offsite produced another slogan and nothing else. To be fair, the lattice they promised was actually a ledge. Beyond that, in hindsight I might have pushed for a transfer instead of leaving."
R-1100,Engineering,13.25,Director,APAC,2025-08-04,5,"If I am being candid, equity refreshers dried up and the salary never made up for it."
R-1101,Operations,6.5,IC,NA,2024-10-18,2,"The startup itch finally won, plus I want to thank the people who trained me."
R-1102,Engineering,0.75,IC,NA,2025-03-15,4,"Since you asked: my coworkers made the hard stretches bearable and on top of that the new role is closer to home, which mattered to my family."
R-1103,Operations,4.25,Manager,EMEA,2024-11-10,3,"If I am being candid, the management training was a video from 2011. To be fair, the startup itch finally won."
R-1104,Sales,2,IC,LATAM,2024-10-25,4,"Since you asked: my supervisor rewrote my work at midnight without telling me why. Beyond that, the promotion freeze entered its third year."
R-1105,Sales,0.5,Lead,NA,2025-09-07,4,"Honestamente, no hay una sola razón, simplemente se terminó el capítulo. También, aprendí mucho del oficio en esta empresa y además los compañeros hicieron llevaderos los momentos duros."
R-1106,People,0.25,Lead,NA,2024-12-14,1,"The project I leave behind is in capable hands and at the same time the benefits package was reasonable overall. To be fair, I enjoyed the early years quite a bit."
R-1107,Support,16,IC,NA,2025-08-18,3,"Short version: in-office Tuesdays became in-office Tuesday through Thursday became my exit. Beyond that, I enjoyed the early years quite a bit."
R-1108,Engineering,12,IC,EMEA,2024-12-12,3,"I wish the next cohort a smooth ride. To be fair, nothing dramatic to report from my corner."
R-1109,Engineering,9,Director,NA,2025-02-15,4,After five rounds of reflection: home office setups went from reimbursed to forbidden and on top of that I want to thank the people who trained me.
R-1110,Engineering,8.75,IC,EMEA,2025-08-01,4,"Truthfully, leadership rewarded loyalty over results every single time, plus the holiday party was always a highlight."
R-1111,Sales,5.5,Manager,NA,2025-04-27,2,After five rounds of reflection: staying even one more cycle was never an option for me and on top of that the onboarding I received years ago was excellent.
R-1112,People,2.5,Lead,APAC,2025-03-10,1,"The cost of living rose and my pay pretended not to notice — and honestly, my manager hoarded information like it was currency."
R-1113,Engineering,14.5,Manager,LATAM,2024-09-15,4,Short version: the burnout was visible in the whole team by spring and on top of that the tools and equipment were always solid.
R-1114,Operations,9,IC,APAC,2024-09-20,3,My salary stayed flat for three straight years and at the same time the mission still resonates with me.
R-1115,Engineering,0.25,IC,NA,2024-08-05,3,"If I am being candid, I mastered the role and then it just repeated. Also, nothing dramatic to report from my corner."
R-1116,Support,4,Lead,APAC,2025-11-24,3,"Off the record but on the form: the desk booking app was the final straw, somehow. Beyond that, the holiday party was always a highlight."
R-1117,Engineering,9.25,IC,APAC,2024-08-19,4,"The exit interview questions were thoughtful, including this one. To be fair, the relocation was for my partner's job. Beyond that, a former colleague recruited me into the new role."
R-1118,Marketing,1.25,IC,APAC,2025-01-14,1,"Progression here rewards tenure, not capability — and honestly, the decision to quit made itself by the end."
R-1119,Engineering,0.25,Lead,NA,2025-08-27,2,"In the end, the tools and equipment were always solid. Beyond that, nothing dramatic to report from my corner."
R-1120,Operations,0.25,IC,NA,2024-09-08,5,n/a
R-1121,Engineering,17.5,IC,NA,2025-07-11,4,"El presupuesto de formación desapareció con el plan anual. También, aprendí mucho del oficio en esta empresa."
R-1122,Operations,4.25,Manager,APAC,2025-07-06,1,The management layer above me was pure noise.
R-1123,Operations,1.5,IC,APAC,2024-07-27,3,"For what it is worth, the directors fought each other and we absorbed the shrapnel and on top of that promotion criteria were a moving target I could never hit and on top of that part of me wishes I had stayed another year."
R-1124,Engineering,8.25,Lead,EMEA,2024-12-09,4,"The leadership offsite produced another slogan and nothing else. Also, no single reason, just the sense that the chapter ended."
R-1125,Marketing,10.5,Lead,EMEA,2025-07-11,1,Look — base salary here lags the industry by a wide margin and at the same time the interview process that brought me in was the best I have experienced.
R-1126,Engineering,3.75,Director,NA,2025-07-27,3,"Since you asked: I did the math and the pay cut of staying was larger than the risk of leaving — and honestly, the snacks were good and the coffee was terrible, for the record."
R-1127,Support,17.5,Manager,APAC,2024-08-09,3,"I left over the commute, which is really to say over the mandate. Also, some mornings I miss the old rhythm and wonder if I jumped too soon."
R-1128,Sales,10,IC,NA,2025-01-29,4,Bottom line: leadership promised changes after the survey and delivered none.
R-1129,Sales,2.5,IC,NA,2025-06-16,4,"The management training was a video from 2011. Meanwhile, the tools and equipment were always solid."
R-1130,Operations,16.5,IC,NA,2024-10-18,3,"The benefits package was reasonable overall. To be fair, an opportunity came along that was too specific to pass up."
R-1131,People,8.25,Lead,EMEA,2024-12-03,3,"The interview process that brought me in was the best I have experienced. To be fair, nothing dramatic to report from my corner."
R-1132,Engineering,5.5,IC,NA,2025-02-10,2,"Two promotions in title with no movement in salary. Beyond that, I asked for stretch projects and got maintenance work. Beyond that, the exit interview questions were thoughtful, including this one."
R-1133,Engineering,0.25,Director,NA,2025-05-23,1,"Underpaid and tired of negotiating for scraps. Also, the pace was unsustainable and everyone pretended otherwise — and honestly, it was simply time for something new."
R-1134,Engineering,0.75,Manager,NA,2025-04-09,4,"The merit increase was two percent in a year of double-digit inflation. Meanwhile, I cannot remember my last week without a fire drill. Also, a former colleague recruited me into the new role."
R-1135,Engineering,10.75,Director,NA,2024-11-13,3,"The merit increase was two percent in a year of double-digit inflation. Beyond that, I appreciated the honest conversations on the way out."
R-1136,Operations,0.75,Lead,NA,2025-04-03,2,n/a
R-1137,Sales,16,IC,NA,2024-11-19,1,"If I am being candid, the snacks were good and the coffee was terrible, for the record. To be fair, it was simply time for something new."
R-1138,Engineering,0.5,Lead,EMEA,2025-01-25,4,"The compensation philosophy slide deck changed nothing about my paycheck, plus my manager was kind but powerless, which somehow felt worse, plus there are days the old badge photo gives me a pang of regret."
R-1139,Engineering,2.5,IC,NA,2025-04-16,3,"The management churn meant four bosses in eighteen months. To be fair, I made friendships here that will outlast the job."
R-1140,Support,0.25,Lead,NA,2025-04-19,2,"Honestly, a competing offer beat my pay by forty percent. Also, my boss gave me a glowing review and a terrible rating, plus the firefighting never stopped long enough to fix the fire."
R-1141,Marketing,1.5,IC,LATAM,2025-11-03,5,"The management layer above me was pure noise. Beyond that, burnout crept in during my first year and never left."
R-1142,Engineering,5.5,IC,EMEA,2025-12-28,2,"I am switching industries to be closer to healthcare work. Beyond that, the interview process that brought me in was the best I have experienced."
R-1143,Marketing,1.25,IC,LATAM,2025-04-12,2,"I am taking time off before deciding what is next, plus the offboarding process was smooth and respectful. Also, the benefits package was reasonable overall."
R-1144,Sales,15.5,Manager,APAC,2025-10-07,3,The crunch was supposed to be temporary and lasted fourteen months and on top of that I appreciated the honest conversations on the way out.
R-1145,Sales,3.25,IC,EMEA,2025-12-14,1,"Short version: the off-hours support rotation broke me. Also, I appreciated the honest conversations on the way out."
R-1146,Operations,5.5,Lead,EMEA,2025-07-02,4,"I watched peers elsewhere lap me in scope and skills. To be fair, the customers were the best part of the job."
R-1147,Operations,1.25,IC,NA,2025-03-28,4,"Too much work, too few hands, too little honesty about it and on top of that the company is full of talented people."
R-1148,Engineering,2.25,IC,EMEA,2025-07-11,2,My manager could not make a decision without three approvals and on top of that I do my best work from home and the policy made that a violation.
R-1149,Engineering,10.75,Lead,APAC,2024-12-28,2,Leaving was self-preservation at that point.
R-1150,Sales,2.5,IC,EMEA,2025-02-14,1,This move is about geography more than anything and on top of that I made friendships here that will outlast the job.
R-1151,Support,4.75,IC,NA,2025-07-23,1,"Leadership measured presence instead of outcomes. Also, the product problems were interesting most of the time."
R-1152,Sales,9,IC,NA,2025-10-01,3,"For what it is worth, equity refreshers dried up and the salary never made up for it. To be fair, the firefighting never stopped long enough to fix the fire. Beyond that, growth talks turned into retention talks only after I resigned."
R-1153,Support,4.75,IC,APAC,2024-12-04,1,"Look — salary discussions went nowhere for two cycles. To be fair, my trajectory was a flat line and I am too early in my career for that, plus the open seating plan plus mandatory attendance equals headphones all day."
R-1154,Sales,1.5,IC,NA,2024-10-18,1,"The annual raise did not even cover the parking increase. Also, capacity planning here is a hope and a calendar invite."
R-1155,Operations,10,IC,EMEA,2024-12-02,1,I left before it cost me more than a job.
R-1156,Engineering,5.5,Manager,NA,2024-10-22,1,I was counting the days until my vesting cliff and then I was gone.
R-1157,Engineering,11,IC,NA,2025-10-02,3,The pay was simply too low for the work.
R-1158,Operations,16.25,Director,NA,2025-05-18,3,I could not justify staying at that salary and at the same time the queue never closed and neither did my laptop.
R-1159,Engineering,4.75,IC,NA,2025-05-06,4,"Short version: I was exhausted on Monday mornings, which told me everything and at the same time my time here taught me a lot about the industry."
R-1160,People,2.75,Director,EMEA,2024-10-23,3,The org chart reshuffles were management's answer to everything and at the same time this move is about geography more than anything.
R-1161,Operations,7.25,IC,NA,2025-10-23,5,"Plainly put, the management layer above me was pure noise, plus I was doing the job of three people by the end — and honestly, I enjoyed the early years quite a bit."
R-1162,Engineering,0.25,IC,EMEA,2025-01-30,3,"Off the record but on the form: capacity planning here is a hope and a calendar invite. To be fair, I left over the commute, which is really to say over the mandate."
R-1163,People,8.75,IC,NA,2025-04-16,3,"A former colleague recruited me into the new role. Beyond that, a former colleague recruited me into the new role."
R-1164,Support,3.5,IC,APAC,2024-11-26,1,"The on-target earnings were a fiction nobody hit. Meanwhile, ambition here is a liability, so I took mine elsewhere."
R-1165,Engineering,1,Lead,EMEA,2025-11-26,4,"Simply put, the retention bonus went to someone else doing half the work, plus the team shrank and the commitments did not. To be fair, the decision to quit made itself by the end."
R-1166,Sales,5.25,IC,EMEA,2024-08-02,4,"I am switching industries to be closer to healthcare work. Beyond that, the exit interview questions were thoughtful, including this one."
R-1167,Sales,13.25,IC,NA,2025-09-27,5,"The relocation was for my partner's job. To be fair, I am going back to school in the fall."
R-1168,Operations,0.5,IC,EMEA,2025-02-27,4,"My boss escalated everything and resolved nothing. To be fair, work from home was the one benefit I could not give up."
R-1169,People,8,IC,APAC,2025-11-13,1,"Look — the pay gap between old hires and new hires became impossible to ignore. Beyond that, the executive team announced strategy by press release before telling us, plus my exit was rushed and a slower version of me might have stayed — and honestly, I left before it cost me more than a job."
R-1170,Engineering,1,IC,EMEA,2025-12-29,3,"They paid below market and called it mission alignment. Meanwhile, micromanagement made every small task a negotiation and at the same time leaving was self-preservation at that point."
R-1171,Sales,11,IC,EMEA,2025-07-13,2,"Equity refreshers dried up and the salary never made up for it. To be fair, leadership changed direction every quarter without explanation. Beyond that, we shipped on adrenaline for two years and I ran out — and honestly, upskilling happened on my own time or not at all."
R-1172,Support,2.75,IC,APAC,2025-01-31,2,"The load balancing was a spreadsheet that balanced nothing. Also, career development meant a webinar link in a newsletter, plus leaving was self-preservation at that point."
R-1173,Engineering,1.75,IC,NA,2025-03-19,4,"I asked about a raise twice and got vague answers both times. To be fair, my boss managed up beautifully and managed down not at all, plus the internal mobility process was a black hole — and honestly, commuting to take the same zoom calls broke something in me. Meanwhile, everyone on my team is interviewing and I just went first."
R-1174,Engineering,1.5,IC,NA,2024-11-01,5,"Honestly, pay transparency revealed exactly how far behind I was. To be fair, advancement required a sponsor and mine kept leaving."
R-1175,Engineering,0.5,IC,APAC,2025-06-19,2,"Quitting cost me money and was worth every cent. Beyond that, the customers were the best part of the job."
R-1176,Engineering,1.25,IC,NA,2024-08-28,4,"In the end, every sprint was a death march with a new name. Meanwhile, I learned the trade here and I am grateful for that."
R-1177,Engineering,0.25,IC,NA,2024-09-02,4,"Short version: salary discussions went nowhere for two cycles, plus the benefits package was reasonable overall."
R-1178,Engineering,1.5,IC,EMEA,2024-08-02,2,"The company swag was genuinely good, for what that is worth. Also, I wish the next cohort a smooth ride."
R-1179,Support,10,Lead,NA,2025-12-28,1,"Truthfully, the pay gap between old hires and new hires became impossible to ignore."
R-1180,Operations,0.25,IC,NA,2025-07-28,4,"The management churn meant four bosses in eighteen months. Also, my career flatlined after the second year."
R-1181,Support,1,IC,NA,2025-03-08,3,"Bottom line: my boss escalated everything and resolved nothing. Meanwhile, it was simply time for something new."
R-1182,Engineering,1.5,IC,NA,2025-11-01,3,"My manager promised the promotion and then pretended the conversation never happened — and honestly, the hours stretched into every evening and most weekends."
R-1183,People,2.5,Manager,APAC,2024-10-21,5,"Walking away from that project still feels unfinished. Beyond that, the project I leave behind is in capable hands."
R-1184,Engineering,5,Lead,NA,2024-07-20,3,"Since you asked: leadership promised changes after the survey and delivered none. Beyond that, mentorship existed on a slide and nowhere else. To be fair, the project I leave behind is in capable hands."
R-1185,Engineering,13.25,IC,APAC,2025-08-10,3,"En resumen: la carga de trabajo era imposible y nunca llegó más gente, y encima la salida fue tranquila y respetuosa, eso lo agradezco."
R-1186,Marketing,5,IC,EMEA,2025-08-21,5,Home office setups went from reimbursed to forbidden.
R-1187,People,2.75,IC,APAC,2024-12-19,1,"Commission structure changed mid-year and my pay dropped hard. Meanwhile, I learned the trade here and I am grateful for that."
R-1188,Engineering,12.25,IC,LATAM,2025-08-19,2,"Since you asked: my boss took credit for the work and disappeared during the hard parts, plus the hours stretched into every evening and most weekends."
R-1189,Sales,6,IC,LATAM,2024-10-18,3,The crunch was supposed to be temporary and lasted fourteen months.
R-1190,People,11.5,Manager,APAC,2025-07-07,2,"Where to start — the exit was a long time coming and overdue. Beyond that, nothing dramatic to report from my corner."
